Time Period,Sales,Marketing Expense
Jan-11,397,486.64
Feb-11,400,501.8
Mar-11,498,437.09
Apr-11,536,565.16
May-11,596,744.15
Jun-11,591,548.74
Jul-11,651,650.21
Aug-11,654,777.51
Sep-11,509,547.11
Oct-11,437,382.81
Nov-11,406,551.56
Dec-11,470,401.69
Jan-12,428,370.97
Feb-12,423,318.39
Mar-12,507,477.39
Apr-12,536,418.66
May-12,610,429.68
Jun-12,609,713.24
Jul-12,687,658.22
Aug-12,707,800.52
Sep-12,509,640.45
Oct-12,452,606.49
Nov-12,412,426.88
Dec-12,472,513.48
Jan-13,454,300.29
Feb-13,455,330.84
Mar-13,568,444.04
Apr-13,610,628.82
May-13,706,620.36
Jun-13,661,682.6
Jul-13,767,684.64
Aug-13,783,748.47
Sep-13,583,668.46
Oct-13,513,499.31
Nov-13,481,401.92
Dec-13,567,605.06
Jan-14,525,429.73
Feb-14,520,602.86
Mar-14,587,596.15
Apr-14,710,619.39
May-14,793,758.31
Jun-14,749,980.16
Jul-14,871,905.1
Aug-14,848,784.62
Sep-14,640,718.98
Oct-14,581,570.3
Nov-14,519,527.6
Dec-14,605,559.75
